event_definition,coding_system,code,code_name,concept,concept_name,tags,system,event_abbreviation,type,code_original
end_of_pregnancy,ICD10,R95,,"",Sudden infant death syndrome,,,,,""
end_of_pregnancy,ICD10,R96.0,,"",Instantaneous death,,,,,""
end_of_pregnancy,ICD10,R96.1,,"","Death occurring less than 24 hours from onset of symptoms, not otherwise explained",,,,,""
end_of_pregnancy,ICD10,R98,,"",Unattended death,,,,,""
end_of_pregnancy,ICD10,O60,,"",Preterm delivery,,,,,""
end_of_pregnancy,ICD10,P07.2,,"",Extreme immaturity,,,,,""
end_of_pregnancy,ICD10,P07.3,,"",Other preterm infants,,,,,""
end_of_pregnancy,ICD10,P95,,"",Fetal death of unspecified cause,,,,,""
end_of_pregnancy,ICD10,P96.4,,"","Termination of pregnancy, fetus and newborn",,,,,""
end_of_pregnancy,ICD10,Q89.9,,"","Congenital malformation, unspecified",,,,,""
end_of_pregnancy,ICD10,O80,single spontaneous delivery,,,,,,,
end_of_pregnancy,ICD10,O81,single delivery by forceps and vacuum extractor,,,,,,,
end_of_pregnancy,ICD10,O82,single delivery by caeserean section,,,,,,,
end_of_pregnancy,ICD10,O83,other assisted single delivery,,,,,,,
end_of_pregnancy,ICD10,O84,Multiple delivery,,,,,,,
end_of_pregnancy,ICD10CM,P84,,C0004045,Asphyxia Neonatorum,,,,,"P21,P84"
end_of_pregnancy,ICD10CM,P21,,C0004045,Asphyxia Neonatorum,,,,,"P21,P84"
end_of_pregnancy,ICD10CM,P12,,C0005604,Birth Injuries,,,,,"P10,P11,P12,P13,P14,P15"
end_of_pregnancy,ICD10CM,P13,,C0005604,Birth Injuries,,,,,"P10,P11,P12,P13,P14,P15"
end_of_pregnancy,ICD10CM,P11,,C0005604,Birth Injuries,,,,,"P10,P11,P12,P13,P14,P15"
end_of_pregnancy,ICD10CM,P10,,C0005604,Birth Injuries,,,,,"P10,P11,P12,P13,P14,P15"
end_of_pregnancy,ICD10CM,P14,,C0005604,Birth Injuries,,,,,"P10,P11,P12,P13,P14,P15"
end_of_pregnancy,ICD10CM,P15,,C0005604,Birth Injuries,,,,,"P10,P11,P12,P13,P14,P15"
end_of_pregnancy,ICD10CM,O88.1,,C0013927,"Embolism, Amniotic Fluid",,,,,O88.1
end_of_pregnancy,ICD10CM,O42,,C0015944,"Fetal Membranes, Premature Rupture",,,,,O42
end_of_pregnancy,ICD10CM,P53,,C0019088,Hemorrhagic Disease of Newborn,,,,,P53
end_of_pregnancy,ICD10CM,O92.70,,C0022927,Lactation Disorders,,,,,O92.70
end_of_pregnancy,ICD10CM,P96.1,,C0027609,Neonatal Abstinence Syndrome,,,,,P96.1
end_of_pregnancy,ICD10CM,P39.1,,C0027611,Neonatal dacryocystitis and conjunctivitis (disorder),,,,,P39.1
end_of_pregnancy,ICD10CM,P07.3,,C0029713,Other preterm infants,,,,,P07.3
end_of_pregnancy,ICD10CM,P29.3,,C0031190,Persistent Fetal Circulation Syndrome,,,,,P29.3
end_of_pregnancy,ICD10CM,O72,,C0032797,Postpartum Hemorrhage,,,,,O72
end_of_pregnancy,ICD10CM,P22,,C0035220,"Respiratory Distress Syndrome, Newborn",,,,,P22
end_of_pregnancy,ICD10CM,P35.0,,C0035921,Congenital Rubella Syndrome,,,,,P35.0
end_of_pregnancy,ICD10CM,P83.0,,C0036415,Sclerema Neonatorum,,,,,P83.0
end_of_pregnancy,ICD10CM,O60,,C0151526,Premature Birth,,,,,O60
end_of_pregnancy,ICD10CM,R04.89,,C0151701,Pulmonary hemorrhage,,,,,R04.89
end_of_pregnancy,ICD10CM,O66.9,,C0152156,Obstructed labor,,,,,O66.9
end_of_pregnancy,ICD10CM,O92.3,,C0152158,Failure of lactation,,,,,O92.3
end_of_pregnancy,ICD10CM,L53.0,,C0152251,Toxic erythema,,,,,L53.0
end_of_pregnancy,ICD10CM,O44.1,,C0156621,Placenta previa with hemorrhage,,,,,O44.1
end_of_pregnancy,ICD10CM,O46.0,,C0156631,Antepartum hemorrhage associated with coagulation defect,,,,,O46.0
end_of_pregnancy,ICD10CM,O46.8,,C0156635,Other antepartum haemorrhage,,,,,O46.8
end_of_pregnancy,ICD10CM,O15.0,,C0156677,Eclampsia in pregnancy,,,,,O15.0
end_of_pregnancy,ICD10CM,O15.2,,C0156678,Eclampsia in puerperium,,,,,O15.2
end_of_pregnancy,ICD10CM,O75.5,,C0157152,Delayed delivery after artificial rupture of membranes,,,,,O75.5
end_of_pregnancy,ICD10CM,O66.4,,C0157223,Failed trial of labor,,,,,O66.4
end_of_pregnancy,ICD10CM,O71.0,,C0157345,Rupture of uterus before onset of labor,,,,,O71.0
end_of_pregnancy,ICD10CM,O71.2,,C0157357,"Inversion of uterus, postpartum",,,,,O71.2
end_of_pregnancy,ICD10CM,O72.3,,C0157403,Postpartum coagulation defects,,,,,O72.3
end_of_pregnancy,ICD10CM,O73,,C0157404,"Retained placenta or membranes, without haemorrhage",,,,,O73
end_of_pregnancy,ICD10CM,O73.1,,C0157408,Retained portions of placenta AND/OR membranes without hemorrhage,,,,,O73.1
end_of_pregnancy,ICD10CM,O75.1,,C0157450,Shock during AND/OR following labor AND/OR delivery,,,,,O75.1
end_of_pregnancy,ICD10CM,O87,,C0157535,Venous complication in the puerperium,,,,,O87
end_of_pregnancy,ICD10CM,O86.4,,C0157536,Puerperal pyrexia of unknown origin,,,,,O86.4
end_of_pregnancy,ICD10CM,O88.2,,C0157552,Obstetrical blood clot embolism,,,,,O88.2
end_of_pregnancy,ICD10CM,O92.0,,C0157630,Retracted nipple associated with childbirth,,,,,O92.0
end_of_pregnancy,ICD10CM,O92.1,,C0157636,Cracked nipple associated with childbirth,,,,,O92.1
end_of_pregnancy,ICD10CM,O92.2,,C0157648,Other and unspecified disorders of breast associated with childbirth,,,,,O92.2
end_of_pregnancy,ICD10CM,O92.7,,C0157669,Other and unspecified disorders of lactation,,,,,O92.7
end_of_pregnancy,ICD10CM,P01,,C0158816,Fetal or neonatal effect of maternal complication of pregnancy,,,,,P01
end_of_pregnancy,ICD10CM,P01.0,,C0158817,Fetal or neonatal effect of incompetent cervix,,,,,P01.0
end_of_pregnancy,ICD10CM,P01.2,,C0158819,Fetus and newborn affected by oligohydramnios,,,,,P01.2
end_of_pregnancy,ICD10CM,P01.3,,C0158820,Fetus or newborn affected by polyhydramnios,,,,,P01.3
end_of_pregnancy,ICD10CM,P02.0,,C0158828,Fetus or neonate affected by placenta previa,,,,,P02.0
end_of_pregnancy,ICD10CM,P02.3,,C0158831,Fetus or neonate affected by placental transfusion syndrome,,,,,P02.3
end_of_pregnancy,ICD10CM,P02.4,,C0158832,Fetal or neonatal effect of prolapsed cord,,,,,P02.4
end_of_pregnancy,ICD10CM,P02.7,,C0158835,Fetus or neonate affected by chorioamnionitis,,,,,P02.7
end_of_pregnancy,ICD10CM,P03.0,,C0158839,Fetus or neonate affected by breech delivery and extraction,,,,,P03.0
end_of_pregnancy,ICD10CM,P03.3,,C0158842,Fetus or neonate affected by vacuum extraction delivery,,,,,P03.3
